epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.88569,0.98932,2.67665,1.32014,0.56901,0.85,0.80134,0.61153,1.63323,1.10951,1.37883,0,0,0
2,2.7125,1.03008,3.27007,1.38009,0.56931,0.85,0.84136,0.63596,1.63876,1.09222,1.37809,1.17822e-06,1.17822e-06,1.17822e-06
3,3.63313,1.39719,2.73121,1.80263,0.56123,0.85,0.84184,0.63639,1.65215,1.09309,1.37927,2.33288e-06,2.33288e-06,2.33288e-06
4,4.56719,1.52467,3.01081,2.09936,0.56154,0.85,0.80085,0.61156,1.65745,1.08411,1.37988,3.46397e-06,3.46397e-06,3.46397e-06
5,5.31964,1.47805,3.30093,1.95254,0.5529,0.85,0.84744,0.62962,1.65186,1.08013,1.37223,4.5715e-06,4.5715e-06,4.5715e-06
6,6.16075,1.15245,2.75368,1.46703,0.54674,0.85,0.808,0.60383,1.63396,1.07507,1.35745,5.65548e-06,5.65548e-06,5.65548e-06
7,7.07477,1.1699,2.40629,1.43887,0.55186,0.85,0.80814,0.60384,1.62891,1.07102,1.35197,6.71588e-06,6.71588e-06,6.71588e-06
8,7.9285,0.97582,2.46471,1.23618,0.60506,0.93333,0.87287,0.61014,1.63262,1.06924,1.35072,7.75273e-06,7.75273e-06,7.75273e-06
9,8.79352,1.10855,3.70682,1.46623,0.56364,0.85,0.81387,0.60954,1.60784,1.05291,1.33459,8.76602e-06,8.76602e-06,8.76602e-06
10,9.5927,0.99186,2.43544,1.24193,0.57698,0.86141,0.81545,0.60997,1.60208,1.05376,1.33118,9.75574e-06,9.75574e-06,9.75574e-06
11,10.4869,1.13186,2.89065,1.41293,0.5832,0.86667,0.86562,0.63574,1.59428,1.0523,1.32451,1.07219e-05,1.07219e-05,1.07219e-05
12,11.2996,0.88455,2.10116,1.2776,0.59536,0.86667,0.86082,0.63133,1.60134,1.05732,1.3273,1.16645e-05,1.16645e-05,1.16645e-05
13,12.0809,0.92312,1.92322,1.4486,0.593,0.86667,0.86083,0.63128,1.59697,1.06092,1.32471,1.25835e-05,1.25835e-05,1.25835e-05
14,12.9177,1.00282,2.26236,1.39045,0.76006,0.65,0.87787,0.636,1.58707,1.06297,1.3188,1.3479e-05,1.3479e-05,1.3479e-05
15,13.8334,1.05834,1.88701,1.41957,0.76625,0.65,0.87815,0.63612,1.58755,1.07055,1.32117,1.43509e-05,1.43509e-05,1.43509e-05
16,14.5537,1.07614,2.20257,1.58476,0.65001,0.77508,0.9122,0.64685,1.59717,1.08293,1.32213,1.51993e-05,1.51993e-05,1.51993e-05
17,15.366,0.93207,2.19998,1.34793,0.81685,0.65,0.91238,0.64374,1.60585,1.09505,1.32714,1.60241e-05,1.60241e-05,1.60241e-05
18,16.1138,1.14781,2.47753,1.47083,0.81685,0.65,0.91238,0.64374,1.60585,1.09505,1.32714,1.68253e-05,1.68253e-05,1.68253e-05
19,17.0544,1.07417,1.53855,1.2892,0.80543,0.65,0.91198,0.6289,1.60931,1.1089,1.328,1.7603e-05,1.7603e-05,1.7603e-05
20,17.7893,1.02742,1.54705,1.2997,0.80543,0.65,0.91198,0.6289,1.60931,1.1089,1.328,1.83571e-05,1.83571e-05,1.83571e-05
21,18.5487,1.17383,3.20395,1.50143,0.81776,0.65,0.91202,0.62108,1.62535,1.14072,1.33403,1.90876e-05,1.90876e-05,1.90876e-05
