epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.3806,0.98932,2.67665,1.32014,0.56901,0.85,0.80134,0.61153,1.63323,1.10951,1.37884,0,0,0
2,4.79863,1.03008,3.27007,1.38009,0.56931,0.85,0.84136,0.63596,1.63876,1.09221,1.37809,1.17822e-06,1.17822e-06,1.17822e-06
3,7.6216,1.39719,2.73121,1.80263,0.56123,0.85,0.84184,0.63639,1.65215,1.09309,1.37927,2.33288e-06,2.33288e-06,2.33288e-06
4,10.2246,1.52468,3.01081,2.09936,0.56154,0.85,0.80085,0.61156,1.65745,1.08411,1.37988,3.46397e-06,3.46397e-06,3.46397e-06
5,12.5971,1.47804,3.30093,1.95254,0.55289,0.85,0.84744,0.62962,1.65186,1.08013,1.37223,4.5715e-06,4.5715e-06,4.5715e-06
6,14.9771,1.15245,2.75369,1.46703,0.54674,0.85,0.808,0.60383,1.63396,1.07507,1.35744,5.65548e-06,5.65548e-06,5.65548e-06
7,17.6751,1.1699,2.40629,1.43887,0.55186,0.85,0.80814,0.60384,1.62891,1.07101,1.35197,6.71588e-06,6.71588e-06,6.71588e-06
8,20.0732,0.97582,2.46471,1.23618,0.60506,0.93333,0.87287,0.61014,1.63262,1.06924,1.35073,7.75273e-06,7.75273e-06,7.75273e-06
9,22.3012,1.10855,3.70682,1.46623,0.56363,0.85,0.81387,0.60954,1.60785,1.05291,1.33459,8.76602e-06,8.76602e-06,8.76602e-06
10,24.4792,0.99186,2.43544,1.24193,0.57698,0.86141,0.81545,0.60997,1.60208,1.05376,1.33118,9.75574e-06,9.75574e-06,9.75574e-06
11,26.7175,1.13186,2.89066,1.41293,0.58321,0.86667,0.86562,0.63574,1.59429,1.0523,1.32451,1.07219e-05,1.07219e-05,1.07219e-05
12,28.9065,0.88455,2.10116,1.2776,0.59536,0.86667,0.86082,0.63133,1.60134,1.05732,1.3273,1.16645e-05,1.16645e-05,1.16645e-05
13,31.1195,0.92312,1.92323,1.44861,0.593,0.86667,0.86083,0.63128,1.59697,1.06092,1.32471,1.25835e-05,1.25835e-05,1.25835e-05
14,33.3115,1.00282,2.26235,1.39045,0.76007,0.65,0.87787,0.636,1.58706,1.06296,1.3188,1.3479e-05,1.3479e-05,1.3479e-05
15,35.6418,1.05834,1.88701,1.41957,0.76626,0.65,0.87815,0.63612,1.58755,1.07055,1.32117,1.43509e-05,1.43509e-05,1.43509e-05
16,37.8148,1.07613,2.20258,1.58477,0.65002,0.77508,0.9122,0.64685,1.59717,1.08292,1.32212,1.51993e-05,1.51993e-05,1.51993e-05
17,40.0368,0.93207,2.19999,1.34793,0.81687,0.65,0.91238,0.64374,1.60584,1.09504,1.32714,1.60241e-05,1.60241e-05,1.60241e-05
18,42.1748,1.14781,2.47753,1.47083,0.81687,0.65,0.91238,0.64374,1.60584,1.09504,1.32714,1.68253e-05,1.68253e-05,1.68253e-05
19,44.4597,1.0742,1.53856,1.28922,0.80544,0.65,0.91198,0.6289,1.6093,1.10889,1.328,1.7603e-05,1.7603e-05,1.7603e-05
20,46.6667,1.02741,1.54705,1.29969,0.80544,0.65,0.91198,0.6289,1.6093,1.10889,1.328,1.83571e-05,1.83571e-05,1.83571e-05
