epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.9205,2.07528,11.1063,1.44749,0.00364,0.5,0.00237,0.00098,1.53477,6.36156,1.17577,4e-05,4e-05,4e-05
2,4.03242,1.62351,5.269,1.20258,0.14993,0.15468,0.10283,0.0645,1.26935,3.98419,1.05159,9.901e-05,9.901e-05,9.901e-05
3,6.06087,1.50157,6.3019,1.2563,0.28887,0.62628,0.40119,0.26722,1.22405,3.23412,1.03212,0.000156832,0.000156832,0.000156832
4,8.16878,1.42284,3.06141,1.06917,0.43011,0.72351,0.51302,0.32994,1.23415,2.80934,1.02085,0.000213466,0.000213466,0.000213466
5,10.2769,1.13088,3.485,1.0475,0.52869,0.875,0.58976,0.41148,1.19625,2.56697,0.98803,0.000268912,0.000268912,0.000268912
6,12.3836,1.26638,3.10445,0.93522,0.5425,1,0.63306,0.43618,1.19377,2.42976,0.97069,0.00032317,0.00032317,0.00032317
7,14.4766,1.27495,3.26704,0.95475,0.55661,1,0.784,0.50241,1.31933,2.68782,1.00943,0.00037624,0.00037624,0.00037624
8,16.5715,1.19004,2.73503,0.97255,0.29279,0.33333,0.21831,0.13304,1.01124,3.05781,0.94182,0.000428122,0.000428122,0.000428122
9,18.3711,0.96611,2.38201,0.90787,0.29279,0.33333,0.21831,0.13304,1.01124,3.05781,0.94182,0.000478816,0.000478816,0.000478816
10,20.3822,1.07938,2.02593,1.00796,0.64829,0.58333,0.57846,0.33197,1.46474,2.46768,1.09244,0.000528322,0.000528322,0.000528322
11,22.1948,1.13433,2.71474,1.02744,0.64829,0.58333,0.57846,0.33197,1.46474,2.46768,1.09244,0.00057664,0.00057664,0.00057664
12,24.074,1.10831,2.94427,1.0394,0.06814,0.875,0.07113,0.02964,1.59345,4.06022,1.14339,0.00062377,0.00062377,0.00062377
13,25.8987,1.14268,2.47019,0.93501,0.06814,0.875,0.07113,0.02964,1.59345,4.06022,1.14339,0.000669712,0.000669712,0.000669712
14,29.3979,1.15733,2.05502,0.95667,0.06766,0.875,0.07056,0.02941,1.59323,4.06521,1.14305,0.000714466,0.000714466,0.000714466
15,31.3165,1.14608,2.51571,0.91357,0.06766,0.875,0.07056,0.02941,1.59323,4.06521,1.14305,0.000758032,0.000758032,0.000758032
16,33.6743,1.16376,2.1424,0.94829,0.06766,0.875,0.07056,0.02941,1.59323,4.06521,1.14305,0.00080041,0.00080041,0.00080041
17,35.5885,1.07237,2.19525,0.9563,0.0128,0.125,0.00341,0.00112,2.83078,10.3922,1.48179,0.0008416,0.0008416,0.0008416
18,37.4467,1.70052,2.21092,1.03471,0.0128,0.125,0.00341,0.00112,2.83078,10.3922,1.48179,0.000881602,0.000881602,0.000881602
19,39.2878,1.61758,3.21174,0.97874,0.0128,0.125,0.00341,0.00112,2.83078,10.3922,1.48179,0.000920416,0.000920416,0.000920416
20,42.7357,1.14894,1.90832,0.98954,0.01313,0.125,0.00351,0.00115,2.83187,10.3735,1.48107,0.000958042,0.000958042,0.000958042
21,44.6234,1.46114,1.95032,1.13965,0.01313,0.125,0.00351,0.00115,2.83187,10.3735,1.48107,0.00099448,0.00099448,0.00099448
22,46.5046,1.31421,1.99083,1.0159,0.01313,0.125,0.00351,0.00115,2.83187,10.3735,1.48107,0.00102973,0.00102973,0.00102973
23,48.365,1.23302,1.98722,1.02676,0.01313,0.125,0.00351,0.00115,2.83187,10.3735,1.48107,0.00106379,0.00106379,0.00106379
24,50.1978,1.50639,2.3796,1.03753,0.01726,1,0.01912,0.01471,0.92468,4.6503,0.91848,0.00109667,0.00109667,0.00109667
25,52.1091,1.30415,2.02176,0.93771,0.01726,1,0.01912,0.01471,0.92468,4.6503,0.91848,0.00112835,0.00112835,0.00112835
26,53.9727,1.17857,1.76474,0.98509,0.01726,1,0.01912,0.01471,0.92468,4.6503,0.91848,0.00115885,0.00115885,0.00115885
27,55.7905,1.24482,1.75715,1.03326,0.01726,1,0.01912,0.01471,0.92468,4.6503,0.91848,0.00118816,0.00118816,0.00118816
28,57.6653,1.21783,1.89266,1.04322,0.01726,1,0.01912,0.01471,0.92468,4.6503,0.91848,0.00121628,0.00121628,0.00121628
29,61.1098,1.23557,1.59336,0.96509,0.01727,1,0.01913,0.01472,0.92466,4.66948,0.91847,0.00124322,0.00124322,0.00124322
