epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.89367,1.67668,4.7321,1.27371,0.62892,0.91188,0.77817,0.45222,1.38873,2.06702,1.11675,0.00012,0.00012,0.00012
2,25.921,0.9345,1.95472,0.92314,0.87079,1,0.8829,0.74343,0.64405,1.39,0.86524,0.000258713,0.000258713,0.000258713
3,41.874,0.98725,1.36671,0.89417,0.85944,0.99691,0.92226,0.73621,0.87403,1.42875,0.89548,0.00039604,0.00039604,0.00039604
4,55.558,0.81736,1.2015,0.85882,0.51103,1,0.51318,0.44575,0.58058,1.79198,0.84475,0.000531981,0.000531981,0.000531981
5,70.2891,0.69716,1.08808,0.84177,0.57902,0.99457,0.59906,0.4947,0.68225,1.69725,0.8673,0.000666536,0.000666536,0.000666536
6,83.3433,0.62729,0.94255,0.8405,0.4084,0.97283,0.42529,0.34026,0.8175,1.4567,0.90175,0.000799705,0.000799705,0.000799705
7,95.78,0.69837,1.04001,0.84261,0.3882,0.99457,0.39363,0.3239,0.70205,1.79621,0.87884,0.000931488,0.000931488,0.000931488
8,108.568,0.7197,1.47797,0.84544,0.36491,0.83696,0.40791,0.33323,0.68302,2.32349,0.86486,0.00106188,0.00106188,0.00106188
9,123.382,0.6747,1.07023,0.8678,0.86551,0.95109,0.92238,0.79685,0.65676,1.32249,0.86686,0.0011909,0.0011909,0.0011909
10,136.95,0.61835,0.70206,0.84754,0.86615,1,0.90491,0.78213,0.58903,1.07088,0.85981,0.00131852,0.00131852,0.00131852
11,149.651,0.84147,0.77896,0.8805,0.86744,1,0.92906,0.69391,0.91373,0.86294,0.92967,0.00144476,0.00144476,0.00144476
12,161.858,0.76527,0.78499,0.8383,0.04696,0.88043,0.04415,0.02503,1.05646,29.3232,1.10872,0.00156961,0.00156961,0.00156961
