epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.91705,1.08524,8.23608,1.18611,0.98204,0.90909,0.905,0.8164,0.66934,3.6787,0.97081,4e-05,4e-05,4e-05
2,4.07667,0.8007,3.56409,1.03733,0.98093,0.90909,0.905,0.79735,0.69041,3.81808,0.96913,9.901e-05,9.901e-05,9.901e-05
3,5.99829,0.70308,3.98044,0.99838,0.99022,0.90909,0.905,0.79735,0.7272,3.20084,0.99151,0.000156832,0.000156832,0.000156832
4,7.84536,0.59042,2.88202,0.86945,0.99461,0.90909,0.905,0.79735,0.75597,2.44072,0.98645,0.000213466,0.000213466,0.000213466
5,9.70664,0.56205,2.76599,0.88038,0.99423,0.90909,0.905,0.8291,0.56103,2.21743,0.93363,0.000268912,0.000268912,0.000268912
6,11.8186,0.63405,1.97308,0.94989,0.9948,0.90909,0.905,0.86026,0.58868,2.30433,0.89823,0.00032317,0.00032317,0.00032317
7,13.8657,0.6561,2.47002,0.88408,0.99444,0.90909,0.90548,0.84205,0.67263,2.366,0.91375,0.00037624,0.00037624,0.00037624
8,15.6621,0.75768,2.07701,0.94285,0.99485,0.90909,0.905,0.8145,0.79434,2.4464,0.95923,0.000428122,0.000428122,0.000428122
9,17.5569,0.69596,1.73686,0.95301,0.99485,0.90909,0.905,0.8145,0.79434,2.4464,0.95923,0.000478816,0.000478816,0.000478816
10,19.5085,0.81689,1.59712,0.95882,0.99462,0.90909,0.905,0.8711,0.54921,2.4252,0.89715,0.000528322,0.000528322,0.000528322
11,21.6639,0.61184,2.00701,0.96569,0.99462,0.90909,0.905,0.8711,0.54921,2.4252,0.89715,0.00057664,0.00057664,0.00057664
12,23.7375,0.62745,1.64072,0.97655,0.99234,0.90909,0.905,0.82225,0.72318,2.21343,0.9343,0.00062377,0.00062377,0.00062377
13,25.5172,0.85688,1.60253,0.95111,0.99234,0.90909,0.905,0.82225,0.72318,2.21343,0.9343,0.000669712,0.000669712,0.000669712
14,27.4199,0.77987,1.70398,0.94905,0.01555,0.90909,0.15982,0.14192,0.48219,3.12867,0.86598,0.000714466,0.000714466,0.000714466
15,29.2182,0.92763,2.08963,1.0065,0.01555,0.90909,0.15982,0.14192,0.48219,3.12867,0.86598,0.000758032,0.000758032,0.000758032
16,31.0333,0.91189,2.09423,0.94782,0.01555,0.90909,0.15982,0.14192,0.48219,3.12867,0.86598,0.00080041,0.00080041,0.00080041
17,32.9074,0.67449,1.71148,0.99916,0.99294,0.90909,0.905,0.74481,0.92282,1.91499,1.11092,0.0008416,0.0008416,0.0008416
18,34.6796,0.76888,1.22119,0.95562,0.99294,0.90909,0.905,0.74481,0.92282,1.91499,1.11092,0.000881602,0.000881602,0.000881602
19,36.5207,0.71997,1.50405,0.96208,0.99294,0.90909,0.905,0.74481,0.92282,1.91499,1.11092,0.000920416,0.000920416,0.000920416
20,38.4628,0.79335,1.15794,0.93233,0.99308,0.90909,0.90614,0.73344,0.9684,2.01112,1.16074,0.000958042,0.000958042,0.000958042
21,40.2533,0.86965,1.51838,1.01206,0.99308,0.90909,0.90614,0.73344,0.9684,2.01112,1.16074,0.00099448,0.00099448,0.00099448
22,42.2624,0.75003,1.33664,1.01146,0.99308,0.90909,0.90614,0.73344,0.9684,2.01112,1.16074,0.00102973,0.00102973,0.00102973
23,44.0747,0.84615,1.32846,0.96388,0.99308,0.90909,0.90614,0.73344,0.9684,2.01112,1.16074,0.00106379,0.00106379,0.00106379
24,45.9544,0.68041,1.33913,0.87321,0.99419,0.90909,0.905,0.64175,1.10629,2.04033,1.17494,0.00109667,0.00109667,0.00109667
25,47.7459,0.8443,1.39597,0.95991,0.99419,0.90909,0.905,0.64175,1.10629,2.04033,1.17494,0.00112835,0.00112835,0.00112835
26,49.841,0.73371,1.48861,0.96842,0.99419,0.90909,0.905,0.64175,1.10629,2.04033,1.17494,0.00115885,0.00115885,0.00115885
27,51.7134,0.80372,1.50571,0.99534,0.99419,0.90909,0.905,0.64175,1.10629,2.04033,1.17494,0.00118816,0.00118816,0.00118816
28,53.5349,0.85039,1.79767,0.98555,0.99419,0.90909,0.905,0.64175,1.10629,2.04033,1.17494,0.00121628,0.00121628,0.00121628
29,55.3562,0.72685,1.3443,0.94771,0.9914,0.90909,0.905,0.73287,0.86011,2.97894,1.0111,0.00124322,0.00124322,0.00124322
30,57.2026,0.7991,1.19563,0.90323,0.9914,0.90909,0.905,0.73287,0.86011,2.97894,1.0111,0.00126896,0.00126896,0.00126896
31,59.2466,0.85622,2.3106,0.96997,0.9914,0.90909,0.905,0.73287,0.86011,2.97894,1.0111,0.00129352,0.00129352,0.00129352
32,61.1105,0.57684,0.98411,0.941,0.9914,0.90909,0.905,0.73287,0.86011,2.97894,1.0111,0.00131689,0.00131689,0.00131689
33,62.9483,0.72217,1.62695,1.00956,0.9914,0.90909,0.905,0.73287,0.86011,2.97894,1.0111,0.00133907,0.00133907,0.00133907
34,64.8042,0.67334,1.29073,0.98877,0.88548,0.90909,0.905,0.8145,0.73571,3.0509,1.14267,0.0013466,0.0013466,0.0013466
35,66.6494,0.69639,1.18103,0.93531,0.88548,0.90909,0.905,0.8145,0.73571,3.0509,1.14267,0.0013268,0.0013268,0.0013268
36,68.4907,0.88136,1.42156,1.03337,0.88548,0.90909,0.905,0.8145,0.73571,3.0509,1.14267,0.001307,0.001307,0.001307
37,70.2947,0.74463,1.47303,0.9929,0.88548,0.90909,0.905,0.8145,0.73571,3.0509,1.14267,0.0012872,0.0012872,0.0012872
38,72.2383,0.80777,1.22954,1.06502,0.88548,0.90909,0.905,0.8145,0.73571,3.0509,1.14267,0.0012674,0.0012674,0.0012674
39,74.1164,0.74807,1.11326,0.95611,0.88548,0.90909,0.905,0.8145,0.73571,3.0509,1.14267,0.0012476,0.0012476,0.0012476
40,75.9845,0.70447,1.05094,0.93291,0.8081,0.90909,0.905,0.8145,0.70845,3.49757,1.01833,0.0012278,0.0012278,0.0012278
41,77.8433,0.59495,0.71214,0.86666,0.8081,0.90909,0.905,0.8145,0.70845,3.49757,1.01833,0.001208,0.001208,0.001208
42,79.6986,0.7412,0.85543,0.95905,0.8081,0.90909,0.905,0.8145,0.70845,3.49757,1.01833,0.0011882,0.0011882,0.0011882
43,81.5756,0.71654,0.83705,0.94925,0.8081,0.90909,0.905,0.8145,0.70845,3.49757,1.01833,0.0011684,0.0011684,0.0011684
44,83.4284,0.77901,0.87059,0.9507,0.8081,0.90909,0.905,0.8145,0.70845,3.49757,1.01833,0.0011486,0.0011486,0.0011486
45,85.2309,0.67663,0.78471,0.92896,0.90831,0.90909,0.90552,0.83751,0.5385,3.21744,0.9145,0.0011288,0.0011288,0.0011288
46,87.0562,0.59604,0.75888,0.92101,0.90831,0.90909,0.90552,0.83751,0.5385,3.21744,0.9145,0.001109,0.001109,0.001109
47,88.8912,0.59355,0.74683,0.87883,0.90831,0.90909,0.90552,0.83751,0.5385,3.21744,0.9145,0.0010892,0.0010892,0.0010892
48,90.8078,0.6056,0.74403,0.90088,0.90831,0.90909,0.90552,0.83751,0.5385,3.21744,0.9145,0.0010694,0.0010694,0.0010694
49,92.7122,0.55148,0.75869,0.85639,0.90831,0.90909,0.90552,0.83751,0.5385,3.21744,0.9145,0.0010496,0.0010496,0.0010496
50,94.5642,0.69723,0.96465,0.98537,0.95497,0.90909,0.90739,0.7871,0.75867,2.8031,0.98608,0.0010298,0.0010298,0.0010298
51,96.4002,0.78049,0.90676,1.00345,0.95497,0.90909,0.90739,0.7871,0.75867,2.8031,0.98608,0.00101,0.00101,0.00101
52,98.3087,0.63437,0.75646,0.85926,0.95497,0.90909,0.90739,0.7871,0.75867,2.8031,0.98608,0.0009902,0.0009902,0.0009902
53,100.073,0.60794,0.69529,0.89546,0.95497,0.90909,0.90739,0.7871,0.75867,2.8031,0.98608,0.0009704,0.0009704,0.0009704
54,101.89,0.55725,0.62323,0.81488,0.95497,0.90909,0.90739,0.7871,0.75867,2.8031,0.98608,0.0009506,0.0009506,0.0009506
55,103.79,0.67177,0.69006,0.88469,0.95497,0.90909,0.90739,0.7871,0.75867,2.8031,0.98608,0.0009308,0.0009308,0.0009308
56,105.589,0.61742,0.64018,0.87634,0.98381,0.90909,0.90622,0.78449,0.68821,1.68468,0.93199,0.000911,0.000911,0.000911
57,107.48,0.60949,0.81888,0.96018,0.98381,0.90909,0.90622,0.78449,0.68821,1.68468,0.93199,0.0008912,0.0008912,0.0008912
58,109.394,0.76904,0.80354,0.9124,0.98381,0.90909,0.90622,0.78449,0.68821,1.68468,0.93199,0.0008714,0.0008714,0.0008714
59,111.172,0.66783,0.96491,0.95144,0.98381,0.90909,0.90622,0.78449,0.68821,1.68468,0.93199,0.0008516,0.0008516,0.0008516
60,113.027,0.58918,0.65144,0.88934,0.98381,0.90909,0.90622,0.78449,0.68821,1.68468,0.93199,0.0008318,0.0008318,0.0008318
61,114.854,0.5399,0.59945,0.82334,0.98835,0.90909,0.90855,0.81921,0.49501,1.15721,0.87988,0.000812,0.000812,0.000812
62,116.616,0.52919,0.62063,0.77175,0.98835,0.90909,0.90855,0.81921,0.49501,1.15721,0.87988,0.0007922,0.0007922,0.0007922
63,118.432,0.64583,0.79371,0.97158,0.98835,0.90909,0.90855,0.81921,0.49501,1.15721,0.87988,0.0007724,0.0007724,0.0007724
64,120.21,0.46748,0.53379,0.89635,0.98835,0.90909,0.90855,0.81921,0.49501,1.15721,0.87988,0.0007526,0.0007526,0.0007526
65,121.973,0.50148,0.55493,0.92448,0.98835,0.90909,0.90855,0.81921,0.49501,1.15721,0.87988,0.0007328,0.0007328,0.0007328
66,123.844,0.5121,0.54873,0.81261,0.99046,0.90909,0.91212,0.8522,0.45964,0.85663,0.87011,0.000713,0.000713,0.000713
67,125.666,0.51512,0.59079,0.88233,0.99046,0.90909,0.91212,0.8522,0.45964,0.85663,0.87011,0.0006932,0.0006932,0.0006932
68,127.41,0.4645,0.62897,0.92807,0.99046,0.90909,0.91212,0.8522,0.45964,0.85663,0.87011,0.0006734,0.0006734,0.0006734
69,129.277,0.5815,0.61276,0.87408,0.99046,0.90909,0.91212,0.8522,0.45964,0.85663,0.87011,0.0006536,0.0006536,0.0006536
70,131.098,0.62413,0.59072,0.90086,0.99046,0.90909,0.91212,0.8522,0.45964,0.85663,0.87011,0.0006338,0.0006338,0.0006338
71,133.073,0.56416,0.60222,0.93449,0.99046,0.90909,0.91212,0.8522,0.45964,0.85663,0.87011,0.000614,0.000614,0.000614
72,134.883,0.56437,0.62048,0.94593,0.99183,0.90909,0.91665,0.82793,0.55908,0.79021,0.89531,0.0005942,0.0005942,0.0005942
73,136.779,0.52077,0.55344,0.91775,0.99183,0.90909,0.91665,0.82793,0.55908,0.79021,0.89531,0.0005744,0.0005744,0.0005744
74,138.632,0.64902,0.69847,0.90681,0.99183,0.90909,0.91665,0.82793,0.55908,0.79021,0.89531,0.0005546,0.0005546,0.0005546
75,140.479,0.45663,0.55788,0.887,0.99183,0.90909,0.91665,0.82793,0.55908,0.79021,0.89531,0.0005348,0.0005348,0.0005348
76,142.336,0.4633,0.54178,0.88391,0.99183,0.90909,0.91665,0.82793,0.55908,0.79021,0.89531,0.000515,0.000515,0.000515
77,144.247,0.55085,0.6262,0.93211,0.99288,0.90909,0.92097,0.83382,0.54647,0.71243,0.88793,0.0004952,0.0004952,0.0004952
78,146.022,0.4962,0.5639,0.8936,0.99288,0.90909,0.92097,0.83382,0.54647,0.71243,0.88793,0.0004754,0.0004754,0.0004754
79,147.81,0.56289,0.72323,0.93637,0.99288,0.90909,0.92097,0.83382,0.54647,0.71243,0.88793,0.0004556,0.0004556,0.0004556
80,149.684,0.48523,0.5475,0.84185,0.99288,0.90909,0.92097,0.83382,0.54647,0.71243,0.88793,0.0004358,0.0004358,0.0004358
81,151.526,0.65052,0.60169,0.86862,0.99288,0.90909,0.92097,0.83382,0.54647,0.71243,0.88793,0.000416,0.000416,0.000416
82,153.339,0.48417,0.61795,0.89316,0.99345,0.90909,0.9248,0.84209,0.4676,0.63151,0.85675,0.0003962,0.0003962,0.0003962
83,155.364,0.55596,0.60397,0.89976,0.99345,0.90909,0.9248,0.84209,0.4676,0.63151,0.85675,0.0003764,0.0003764,0.0003764
84,157.266,0.49768,0.6662,0.85215,0.99345,0.90909,0.9248,0.84209,0.4676,0.63151,0.85675,0.0003566,0.0003566,0.0003566
85,159.039,0.55427,0.63802,0.90827,0.99345,0.90909,0.9248,0.84209,0.4676,0.63151,0.85675,0.0003368,0.0003368,0.0003368
86,160.867,0.4807,0.54238,0.86083,0.99345,0.90909,0.9248,0.84209,0.4676,0.63151,0.85675,0.000317,0.000317,0.000317
