epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.95338,1.18976,10.7758,1.10658,0.96115,1,0.995,0.891,0.4873,4.15906,0.81317,2e-05,2e-05,2e-05
2,4.9269,0.84565,7.21789,1.15503,0.96308,1,0.995,0.82883,0.67045,3.89188,0.82593,5.9406e-05,5.9406e-05,5.9406e-05
3,6.34995,0.58609,6.0824,0.87122,0.96822,1,0.995,0.8355,0.73127,3.68806,0.84283,9.802e-05,9.802e-05,9.802e-05
4,7.77776,0.64504,4.52121,0.91991,0.98364,1,0.995,0.8505,0.62903,2.80484,0.82974,0.000135842,0.000135842,0.000135842
5,9.1563,0.68341,2.6806,0.92395,0.98735,1,0.995,0.8994,0.48672,2.53206,0.78818,0.000172872,0.000172872,0.000172872
6,10.7489,0.65584,1.87452,0.94434,0.98735,1,0.995,0.8994,0.48672,2.53206,0.78818,0.00020911,0.00020911,0.00020911
7,12.3044,0.83814,3.476,0.93523,0.98609,1,0.995,0.86033,0.58101,2.69384,0.82294,0.000244556,0.000244556,0.000244556
8,13.7561,0.65125,2.56984,0.89305,0.98881,1,0.995,0.8955,0.59869,2.63085,0.82459,0.00027921,0.00027921,0.00027921
9,15.0945,0.77013,2.78826,1.05237,0.98881,1,0.995,0.8955,0.59869,2.63085,0.82459,0.000313072,0.000313072,0.000313072
10,16.5545,0.51755,2.46931,0.9197,0.99015,1,0.995,0.8596,0.60837,2.66528,0.84617,0.000346142,0.000346142,0.000346142
11,18.0067,0.49989,2.67557,0.93732,0.99015,1,0.995,0.8596,0.60837,2.66528,0.84617,0.00037842,0.00037842,0.00037842
12,19.4054,0.55958,1.89705,0.90675,0.98979,1,0.995,0.87725,0.5048,3.24842,0.81016,0.000409906,0.000409906,0.000409906
13,20.8505,0.60476,2.25392,0.86373,0.98979,1,0.995,0.87725,0.5048,3.24842,0.81016,0.0004406,0.0004406,0.0004406
14,22.2725,0.65495,2.00204,0.92201,0.98979,1,0.995,0.87725,0.5048,3.24842,0.81016,0.000470502,0.000470502,0.000470502
15,23.7208,0.59122,1.68184,0.88583,0.98396,1,0.995,0.90038,0.51512,3.65652,0.79133,0.000499612,0.000499612,0.000499612
16,25.3744,0.55725,1.15834,0.85936,0.98396,1,0.995,0.90038,0.51512,3.65652,0.79133,0.00052793,0.00052793,0.00052793
17,26.9374,0.75169,1.77747,1.00817,0.98396,1,0.995,0.90038,0.51512,3.65652,0.79133,0.000555456,0.000555456,0.000555456
18,28.622,0.58998,1.49518,0.80785,0.98793,1,0.995,0.92183,0.48875,3.31355,0.78367,0.00058219,0.00058219,0.00058219
19,30.2121,0.60447,1.33519,0.99383,0.98793,1,0.995,0.92183,0.48875,3.31355,0.78367,0.000608132,0.000608132,0.000608132
20,31.9077,0.66786,1.89707,0.9324,0.98793,1,0.995,0.92183,0.48875,3.31355,0.78367,0.000633282,0.000633282,0.000633282
21,33.4835,0.63655,3.59056,0.94347,0.82807,1,0.995,0.6895,0.86462,4.39849,0.9558,0.00065764,0.00065764,0.00065764
22,34.8792,0.51494,1.308,0.81688,0.82807,1,0.995,0.6895,0.86462,4.39849,0.9558,0.000681206,0.000681206,0.000681206
23,36.2131,0.77978,1.44122,1.00818,0.82807,1,0.995,0.6895,0.86462,4.39849,0.9558,0.00070398,0.00070398,0.00070398
24,37.574,0.58745,1.58948,0.81949,0.82807,1,0.995,0.6895,0.86462,4.39849,0.9558,0.000725962,0.000725962,0.000725962
25,38.9405,0.68743,1.46307,0.99888,0.97653,1,0.995,0.8635,0.53379,2.05387,0.85879,0.000747152,0.000747152,0.000747152
26,40.3659,0.77462,2.19099,1.02963,0.97653,1,0.995,0.8635,0.53379,2.05387,0.85879,0.00076755,0.00076755,0.00076755
27,41.7134,0.322,7.1972,0.39733,0.97653,1,0.995,0.8635,0.53379,2.05387,0.85879,0.000787156,0.000787156,0.000787156
28,43.084,0.64628,1.47202,0.91102,0.97653,1,0.995,0.8635,0.53379,2.05387,0.85879,0.00080597,0.00080597,0.00080597
29,44.4012,0.6597,1.98215,0.95638,0.97653,1,0.995,0.8635,0.53379,2.05387,0.85879,0.000823992,0.000823992,0.000823992
30,45.8359,0.65496,1.37583,0.8332,0.99,1,0.995,0.8675,0.58846,2.09655,0.82782,0.000841222,0.000841222,0.000841222
31,47.1686,0.6726,1.82918,0.83092,0.99,1,0.995,0.8675,0.58846,2.09655,0.82782,0.00085766,0.00085766,0.00085766
32,48.5799,0.76772,1.10016,0.91807,0.99,1,0.995,0.8675,0.58846,2.09655,0.82782,0.000873306,0.000873306,0.000873306
33,49.9658,0.521,1.01147,0.93484,0.99,1,0.995,0.8675,0.58846,2.09655,0.82782,0.00088816,0.00088816,0.00088816
34,51.5181,0.53341,0.95215,0.91704,0.99,1,0.995,0.8675,0.58846,2.09655,0.82782,0.000902222,0.000902222,0.000902222
35,52.9648,0.62883,2.39114,0.84413,0.99,1,0.995,0.8675,0.58846,2.09655,0.82782,0.000915492,0.000915492,0.000915492
