epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8466,1.0597,2.99159,1.0667,0.92164,0.24619,0.8219,0.64147,0.82659,3.00176,0.9462,0.000469718,0.000469718,0.000469718
2,32.1161,1.06643,2.04147,1.0687,0.64313,0.82872,0.87248,0.63814,0.93484,2.22652,0.99159,0.000936685,0.000936685,0.000936685
3,47.1977,1.05742,1.8268,1.06634,0.7868,0.97084,0.92244,0.68635,0.97883,2.2685,0.99458,0.00139422,0.00139422,0.00139422
4,62.0896,1.08413,1.6919,1.09862,0.80197,0.92231,0.95786,0.72294,0.891,1.91628,0.96458,0.00138656,0.00138656,0.00138656
5,77.0476,1.05567,1.61552,1.08269,0.66334,0.96197,0.92403,0.70026,0.91902,2.18357,0.95899,0.00137241,0.00137241,0.00137241
6,92.1162,1.05751,1.48354,1.05206,0.89197,0.90477,0.94926,0.73603,0.82963,1.57259,0.92176,0.00135826,0.00135826,0.00135826
7,107.092,1.00293,1.35894,1.03977,0.86717,0.97271,0.97444,0.73468,0.84933,1.82232,0.9372,0.00134412,0.00134412,0.00134412
8,122.236,1.03079,1.33202,1.05505,0.9382,0.8845,0.92125,0.71179,0.96001,1.61624,0.98446,0.00132997,0.00132997,0.00132997
9,137.054,0.97365,1.21717,1.02116,0.98788,0.96592,0.99342,0.77612,0.8837,1.32759,0.94135,0.00131582,0.00131582,0.00131582
10,152.058,0.9787,1.1195,1.01659,0.94464,0.9892,0.99085,0.77069,0.86043,1.1631,0.92511,0.00130168,0.00130168,0.00130168
11,166.902,0.97901,1.12191,1.03348,0.99124,0.9984,0.99485,0.8033,0.82781,1.11216,0.92727,0.00128753,0.00128753,0.00128753
12,182.12,0.93566,1.06592,1.01919,0.98802,0.99749,0.995,0.81911,0.75991,0.99704,0.88445,0.00127338,0.00127338,0.00127338
13,197.128,0.95203,0.99978,1.02008,0.99184,1,0.99496,0.83031,0.74617,0.88225,0.88632,0.00125923,0.00125923,0.00125923
14,212.327,0.96199,0.96922,1.03482,0.99243,1,0.99483,0.8012,0.80084,0.86875,0.90577,0.00124509,0.00124509,0.00124509
15,227.214,0.93643,0.92517,1.0101,0.99235,0.99678,0.9949,0.81196,0.81296,0.89813,0.90761,0.00123094,0.00123094,0.00123094
16,242.221,0.89454,0.85936,0.99003,0.9902,0.99501,0.995,0.83694,0.72694,0.7815,0.87875,0.00121679,0.00121679,0.00121679
17,257.6,0.87532,0.83324,0.98946,0.99591,1,0.995,0.81369,0.77034,0.76213,0.88719,0.00120265,0.00120265,0.00120265
18,272.601,0.84144,0.7889,0.97481,0.97204,0.98927,0.99027,0.82966,0.71293,0.74259,0.87698,0.0011885,0.0011885,0.0011885
19,287.621,0.89232,0.8084,1.00735,0.99258,1,0.99496,0.84036,0.71475,0.73286,0.86543,0.00117435,0.00117435,0.00117435
20,302.694,0.85368,0.77986,0.9653,0.99785,0.99521,0.995,0.84094,0.68247,0.71271,0.85397,0.00116021,0.00116021,0.00116021
21,317.827,0.88568,0.75993,1.00963,0.99653,1,0.995,0.84711,0.66801,0.63262,0.85407,0.00114606,0.00114606,0.00114606
22,332.908,0.85857,0.76955,0.99299,0.99084,1,0.99483,0.84593,0.69038,0.62053,0.85982,0.00113191,0.00113191,0.00113191
23,347.982,0.85142,0.71037,0.98421,0.99455,0.99941,0.99494,0.83321,0.69734,0.62417,0.86302,0.00111776,0.00111776,0.00111776
24,363.08,0.83097,0.72851,0.97467,0.99459,1,0.995,0.84226,0.67795,0.58327,0.85822,0.00110362,0.00110362,0.00110362
25,378.062,0.81324,0.68521,0.96367,0.9967,1,0.99498,0.85566,0.6537,0.58941,0.85104,0.00108947,0.00108947,0.00108947
26,393.529,0.83588,0.68649,0.9754,0.98976,1,0.995,0.83965,0.67883,0.59019,0.85404,0.00107532,0.00107532,0.00107532
27,408.503,0.83607,0.67217,0.97768,0.98896,0.99581,0.99496,0.85146,0.69952,0.59229,0.86685,0.00106118,0.00106118,0.00106118
28,423.436,0.80209,0.63766,0.9664,0.99177,1,0.99231,0.83991,0.68763,0.55582,0.85789,0.00104703,0.00104703,0.00104703
29,438.378,0.82184,0.63797,0.98214,0.99071,1,0.99398,0.8494,0.66368,0.54659,0.85903,0.00103288,0.00103288,0.00103288
30,453.625,0.81752,0.62693,0.99897,0.9945,1,0.99417,0.8475,0.64633,0.5216,0.85791,0.00101873,0.00101873,0.00101873
31,468.752,0.79532,0.60264,0.97258,0.99666,1,0.99456,0.85853,0.64354,0.51175,0.8592,0.00100459,0.00100459,0.00100459
32,483.703,0.76556,0.60286,0.95919,0.99264,1,0.99498,0.85776,0.64219,0.51435,0.85785,0.00099044,0.00099044,0.00099044
33,498.677,0.73657,0.57522,0.943,0.99505,1,0.99477,0.85318,0.63434,0.48057,0.84751,0.000976293,0.000976293,0.000976293
34,513.598,0.79719,0.59393,0.98196,0.99434,1,0.99475,0.86543,0.62679,0.48339,0.84643,0.000962146,0.000962146,0.000962146
35,528.572,0.75269,0.5507,0.95752,0.99204,1,0.9944,0.86843,0.62659,0.48665,0.84653,0.000947999,0.000947999,0.000947999
36,543.978,0.77158,0.5875,0.96242,0.99381,1,0.99454,0.85562,0.64962,0.50305,0.85812,0.000933851,0.000933851,0.000933851
37,559.317,0.75564,0.55603,0.95655,0.99425,1,0.99479,0.84922,0.65418,0.47708,0.85831,0.000919704,0.000919704,0.000919704
38,575.21,0.79587,0.57738,0.97367,0.99498,1,0.99483,0.87012,0.60876,0.46251,0.83966,0.000905557,0.000905557,0.000905557
39,590.506,0.75067,0.53042,0.95314,0.9946,1,0.99488,0.87514,0.58709,0.46791,0.83542,0.00089141,0.00089141,0.00089141
40,605.568,0.73536,0.53665,0.95465,0.99291,1,0.995,0.86989,0.61866,0.48469,0.83902,0.000877263,0.000877263,0.000877263
41,620.97,0.79287,0.55029,0.96284,0.99453,1,0.99494,0.86437,0.60984,0.45128,0.83518,0.000863116,0.000863116,0.000863116
42,636.389,0.70129,0.50748,0.93124,0.99513,1,0.99498,0.87781,0.57052,0.4294,0.8298,0.000848969,0.000848969,0.000848969
43,651.572,0.74104,0.52423,0.94938,0.99483,1,0.99494,0.88594,0.57224,0.41801,0.83109,0.000834822,0.000834822,0.000834822
44,666.739,0.71748,0.50834,0.95335,0.99322,1,0.99458,0.86867,0.6041,0.44888,0.83711,0.000820675,0.000820675,0.000820675
45,681.756,0.72693,0.52787,0.96836,0.99321,1,0.99473,0.87392,0.6059,0.45335,0.83984,0.000806528,0.000806528,0.000806528
46,697.207,0.74564,0.54647,0.96266,0.99452,1,0.99494,0.87659,0.57386,0.43385,0.83482,0.00079238,0.00079238,0.00079238
47,712.055,0.70981,0.51166,0.94011,0.99544,1,0.99488,0.87682,0.59518,0.42634,0.83328,0.000778233,0.000778233,0.000778233
48,726.965,0.71169,0.48681,0.93394,0.9948,1,0.99498,0.8981,0.53605,0.39092,0.8221,0.000764086,0.000764086,0.000764086
