epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.43978,1.15637,4.41371,1.41292,0,0,0,0,0.75237,4.60128,1.10692,0.00038,0.00038,0.00038
2,9.72345,1.12997,3.80388,1.42286,0,0,0,0,0.73854,4.29034,1.03319,0.000772278,0.000772278,0.000772278
3,14.1173,1.15768,2.97973,1.40581,0.70536,0.83158,0.7931,0.59845,0.8112,3.5019,1.14222,0.00115664,0.00115664,0.00115664
4,18.5942,1.3181,2.04554,1.54499,0.56849,0.87368,0.78423,0.51515,1.03164,3.14481,1.26945,0.00153307,0.00153307,0.00153307
5,22.9207,1.42582,1.85576,1.6913,0.99648,0.64211,0.8996,0.59787,0.96382,2.32186,1.32871,0.00190159,0.00190159,0.00190159
6,27.4863,1.52019,1.73653,1.74258,0.48881,0.62105,0.6421,0.24343,1.80669,2.20754,2.92283,0.001901,0.001901,0.001901
7,31.9598,1.49504,1.52153,1.66197,0.57469,0.76842,0.75715,0.50183,1.15963,3.3614,1.49682,0.0018812,0.0018812,0.0018812
8,36.2063,1.37671,1.40425,1.57871,0.39698,0.88421,0.69935,0.44118,1.19563,5.91826,1.6188,0.0018614,0.0018614,0.0018614
9,40.5429,1.4463,1.30417,1.6368,0.35743,0.91579,0.68424,0.40192,1.14912,7.60089,1.52357,0.0018416,0.0018416,0.0018416
10,44.8487,1.33211,1.24546,1.54219,0.71574,0.5566,0.63852,0.39758,1.14256,1.97674,1.37785,0.0018218,0.0018218,0.0018218
11,49.3803,1.29175,1.32481,1.49442,0.60499,0.98947,0.72164,0.46303,1.02527,2.97683,1.26239,0.001802,0.001802,0.001802
12,53.7583,1.18617,1.11635,1.3712,0.75526,0.94207,0.93115,0.63524,0.91653,2.63382,1.16195,0.0017822,0.0017822,0.0017822
13,58.1457,1.1879,1.15618,1.40399,0.73343,0.83158,0.85057,0.49775,1.17933,2.40417,1.47095,0.0017624,0.0017624,0.0017624
14,62.4646,1.231,1.12721,1.44436,0.91034,0.90526,0.96322,0.67994,1.00053,1.40741,1.18575,0.0017426,0.0017426,0.0017426
15,66.8721,1.32226,1.2129,1.51928,0.95059,0.91579,0.97573,0.69037,0.91859,1.122,1.14929,0.0017228,0.0017228,0.0017228
16,71.3246,1.10387,1.08187,1.34659,0.9835,0.96842,0.99068,0.75205,0.81469,1.27885,1.09433,0.001703,0.001703,0.001703
17,75.6684,1.10014,0.94943,1.30452,0.95993,1,0.98832,0.76774,0.85297,1.42167,1.13237,0.0016832,0.0016832,0.0016832
18,80.0406,1.10005,0.91674,1.35474,0.93835,0.98947,0.98767,0.76443,0.80438,0.99785,1.09079,0.0016634,0.0016634,0.0016634
19,84.593,1.07403,0.94558,1.27035,0.94834,1,0.97247,0.76181,0.76496,0.90464,1.0478,0.0016436,0.0016436,0.0016436
20,88.9969,1.03796,0.95091,1.28066,0.96716,0.93005,0.95986,0.72838,0.83557,1.14777,1.12065,0.0016238,0.0016238,0.0016238
21,93.4827,1.02583,0.90048,1.25058,0.95492,0.89193,0.93325,0.66832,0.93761,0.96773,1.23659,0.001604,0.001604,0.001604
22,97.9232,1.20571,1.03146,1.40522,0.95918,0.98929,0.98927,0.76068,0.79303,0.76793,1.07991,0.0015842,0.0015842,0.0015842
23,102.352,1.03218,0.8805,1.30384,0.97533,1,0.99448,0.75352,0.83783,0.80894,1.0833,0.0015644,0.0015644,0.0015644
24,106.606,0.9657,0.85413,1.23364,0.96926,0.99573,0.99289,0.74188,0.89201,0.78909,1.10716,0.0015446,0.0015446,0.0015446
25,110.962,0.95723,0.86662,1.22435,0.97623,0.98947,0.99323,0.79053,0.75743,0.69367,1.01816,0.0015248,0.0015248,0.0015248
26,115.462,0.96521,0.83002,1.19382,0.98769,0.98947,0.99333,0.83297,0.66476,0.64626,0.95989,0.001505,0.001505,0.001505
