epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.47112,1.24448,4.61098,1.47932,0,0,0,0,0.8131,4.61009,1.08842,0.0001,0.0001,0.0001
2,4.18107,1.07706,4.44189,1.30591,0,0,0,0,0.81719,4.60111,1.07989,0.000217822,0.000217822,0.000217822
3,5.88097,1.09849,4.25962,1.43477,0,0,0,0,0.78715,4.57092,1.03413,0.000333268,0.000333268,0.000333268
4,7.44042,1.03386,4.12566,1.37179,0,0,0,0,0.74783,4.50518,1.04212,0.000446338,0.000446338,0.000446338
5,9.09346,1.13477,3.88608,1.43321,0,0,0,0,0.82505,4.45736,1.10104,0.000557032,0.000557032,0.000557032
6,10.7022,1.07008,3.77949,1.35805,0,0,0,0,0.9179,4.40924,1.15168,0.00066535,0.00066535,0.00066535
7,12.5641,1.27431,3.64914,1.58048,0,0,0,0,0.96957,4.30638,1.18735,0.000771292,0.000771292,0.000771292
8,14.1554,1.05799,3.21634,1.37886,0,0,0,0,0.96957,4.30638,1.18735,0.000874858,0.000874858,0.000874858
9,15.8362,1.14945,2.92098,1.43823,0.83333,0.2,0.18167,0.08497,0.98158,4.24742,1.18441,0.000976048,0.000976048,0.000976048
10,17.3941,1.24191,2.98873,1.45015,1,0.24,0.235,0.17388,1.15232,4.22551,1.31776,0.00107486,0.00107486,0.00107486
11,19.0041,1.19396,2.37234,1.56906,1,0.24,0.235,0.17388,1.15232,4.22551,1.31776,0.0011713,0.0011713,0.0011713
12,20.6474,1.29118,2.48184,1.5657,0.52941,0.72,0.62508,0.42468,1.27947,3.36924,1.35724,0.00126536,0.00126536,0.00126536
13,22.2462,1.31967,2.02057,1.62837,0.52941,0.72,0.62508,0.42468,1.27947,3.36924,1.35724,0.00135705,0.00135705,0.00135705
14,23.9335,1.45128,1.73303,1.68652,0.52941,0.72,0.62508,0.42468,1.27947,3.36924,1.35724,0.00144636,0.00144636,0.00144636
15,25.6544,1.47773,1.72061,1.66686,0.76,0.76,0.70227,0.37736,1.42447,3.65913,1.5005,0.00153329,0.00153329,0.00153329
16,27.2159,1.30306,1.53659,1.50757,0.76,0.76,0.70227,0.37736,1.42447,3.65913,1.5005,0.00161785,0.00161785,0.00161785
17,28.8556,1.48893,1.87086,1.7251,0.80417,0.6575,0.7725,0.46154,1.35142,2.15569,1.51731,0.0016832,0.0016832,0.0016832
18,30.4674,1.38525,1.70131,1.63056,0.80417,0.6575,0.7725,0.46154,1.35142,2.15569,1.51731,0.0016634,0.0016634,0.0016634
19,32.0683,1.39994,1.46243,1.71667,0.80417,0.6575,0.7725,0.46154,1.35142,2.15569,1.51731,0.0016436,0.0016436,0.0016436
20,33.7505,1.26256,1.38506,1.62823,0.82182,0.84,0.79499,0.452,1.33612,1.83264,1.68245,0.0016238,0.0016238,0.0016238
21,35.3625,1.41302,1.47309,1.71887,0.82182,0.84,0.79499,0.452,1.33612,1.83264,1.68245,0.001604,0.001604,0.001604
22,36.9716,1.46386,1.64747,1.57465,0.82182,0.84,0.79499,0.452,1.33612,1.83264,1.68245,0.0015842,0.0015842,0.0015842
23,38.583,1.26411,1.38006,1.47591,0.96454,0.8,0.87722,0.62401,1.15768,1.40149,1.41283,0.0015644,0.0015644,0.0015644
24,40.2763,1.28523,1.62084,1.50204,0.96454,0.8,0.87722,0.62401,1.15768,1.40149,1.41283,0.0015446,0.0015446,0.0015446
25,41.8952,1.27583,1.33526,1.52715,0.69953,0.72,0.84993,0.4968,1.29783,1.84118,1.60008,0.0015248,0.0015248,0.0015248
26,43.4979,1.35801,1.34408,1.52024,0.69953,0.72,0.84993,0.4968,1.29783,1.84118,1.60008,0.001505,0.001505,0.001505
27,45.0588,1.43458,1.21833,1.68362,0.69953,0.72,0.84993,0.4968,1.29783,1.84118,1.60008,0.0014852,0.0014852,0.0014852
28,46.7406,1.35231,1.37206,1.6442,0.88537,0.88,0.96236,0.63389,1.15991,1.0965,1.50045,0.0014654,0.0014654,0.0014654
29,48.3494,1.27241,1.26648,1.53066,0.88537,0.88,0.96236,0.63389,1.15991,1.0965,1.50045,0.0014456,0.0014456,0.0014456
30,49.9601,1.27312,1.27098,1.56355,0.88537,0.88,0.96236,0.63389,1.15991,1.0965,1.50045,0.0014258,0.0014258,0.0014258
31,51.6051,1.18071,1.24073,1.4447,0.93671,0.8,0.90963,0.589,1.13458,1.37658,1.39164,0.001406,0.001406,0.001406
32,53.156,1.27715,1.23622,1.50575,0.93671,0.8,0.90963,0.589,1.13458,1.37658,1.39164,0.0013862,0.0013862,0.0013862
33,54.882,1.54816,1.26817,1.74251,0.7472,0.76,0.82502,0.45692,1.3453,1.39467,1.56129,0.0013664,0.0013664,0.0013664
34,56.4804,1.22874,1.30103,1.57089,0.7472,0.76,0.82502,0.45692,1.3453,1.39467,1.56129,0.0013466,0.0013466,0.0013466
35,58.1168,1.12591,1.1605,1.41791,0.7472,0.76,0.82502,0.45692,1.3453,1.39467,1.56129,0.0013268,0.0013268,0.0013268
36,59.7735,1.16538,1.18029,1.37416,0.95001,0.92,0.95493,0.7139,0.90832,0.92784,1.24089,0.001307,0.001307,0.001307
37,61.3597,1.14828,1.13549,1.37313,0.95001,0.92,0.95493,0.7139,0.90832,0.92784,1.24089,0.0012872,0.0012872,0.0012872
38,62.9968,1.22146,1.08979,1.60654,0.95001,0.92,0.95493,0.7139,0.90832,0.92784,1.24089,0.0012674,0.0012674,0.0012674
39,64.6615,1.23078,1.05879,1.51244,1,0.95963,0.99346,0.7568,0.82108,0.91613,1.09468,0.0012476,0.0012476,0.0012476
40,66.2352,1.17344,1.08692,1.34854,1,0.95963,0.99346,0.7568,0.82108,0.91613,1.09468,0.0012278,0.0012278,0.0012278
41,67.9696,1.25146,1.02593,1.45252,0.90126,0.88,0.94564,0.68381,0.97452,1.03137,1.15849,0.001208,0.001208,0.001208
42,69.4844,1.04364,0.97682,1.27726,0.90126,0.88,0.94564,0.68381,0.97452,1.03137,1.15849,0.0011882,0.0011882,0.0011882
43,70.9922,1.16191,1.01141,1.3664,0.90126,0.88,0.94564,0.68381,0.97452,1.03137,1.15849,0.0011684,0.0011684,0.0011684
44,72.5916,1.09771,0.97642,1.34413,0.67456,0.92,0.89045,0.59814,1.03408,1.15456,1.26019,0.0011486,0.0011486,0.0011486
45,74.1738,1.16628,1.06405,1.43976,0.67456,0.92,0.89045,0.59814,1.03408,1.15456,1.26019,0.0011288,0.0011288,0.0011288
46,75.7398,1.18149,0.96706,1.37743,0.67456,0.92,0.89045,0.59814,1.03408,1.15456,1.26019,0.001109,0.001109,0.001109
47,77.3464,1.09361,0.9962,1.32192,0.9104,0.96,0.9811,0.75347,0.89227,0.85106,1.1212,0.0010892,0.0010892,0.0010892
48,78.9219,1.10884,0.88819,1.35115,0.9104,0.96,0.9811,0.75347,0.89227,0.85106,1.1212,0.0010694,0.0010694,0.0010694
49,80.5155,0.99312,0.87661,1.34596,0.99774,1,0.995,0.75191,0.87514,0.80873,1.09597,0.0010496,0.0010496,0.0010496
50,82.1004,1.01007,1.00874,1.28982,0.99774,1,0.995,0.75191,0.87514,0.80873,1.09597,0.0010298,0.0010298,0.0010298
51,83.7761,1.16866,1.07033,1.31354,0.99774,1,0.995,0.75191,0.87514,0.80873,1.09597,0.00101,0.00101,0.00101
52,85.3603,1.10088,1.06302,1.26814,0.99424,1,0.995,0.81362,0.69869,0.69696,0.95399,0.0009902,0.0009902,0.0009902
53,86.9245,0.93733,0.89523,1.25124,0.99424,1,0.995,0.81362,0.69869,0.69696,0.95399,0.0009704,0.0009704,0.0009704
54,88.5335,1.19505,1.17047,1.40413,0.99424,1,0.995,0.81362,0.69869,0.69696,0.95399,0.0009506,0.0009506,0.0009506
55,90.1398,0.96832,0.9056,1.18276,0.9969,1,0.995,0.83427,0.61402,0.62158,0.92177,0.0009308,0.0009308,0.0009308
56,91.7672,0.90554,0.86845,1.17906,0.9969,1,0.995,0.83427,0.61402,0.62158,0.92177,0.000911,0.000911,0.000911
57,93.3631,1.01289,0.96239,1.33592,0.99361,1,0.995,0.83432,0.66168,0.63345,0.97708,0.0008912,0.0008912,0.0008912
58,94.9727,0.9619,0.93934,1.13836,0.99361,1,0.995,0.83432,0.66168,0.63345,0.97708,0.0008714,0.0008714,0.0008714
59,96.837,1.02536,0.9087,1.27099,0.99361,1,0.995,0.83432,0.66168,0.63345,0.97708,0.0008516,0.0008516,0.0008516
60,98.4509,1.0242,0.89321,1.27589,1,0.99427,0.995,0.80937,0.67249,0.61293,0.9995,0.0008318,0.0008318,0.0008318
61,99.9962,1.03975,0.90939,1.28874,1,0.99427,0.995,0.80937,0.67249,0.61293,0.9995,0.000812,0.000812,0.000812
62,101.545,0.98128,0.83129,1.26646,1,0.99427,0.995,0.80937,0.67249,0.61293,0.9995,0.0007922,0.0007922,0.0007922
63,103.176,0.85364,0.78323,1.24091,0.99719,1,0.995,0.84114,0.64813,0.54173,0.96107,0.0007724,0.0007724,0.0007724
64,104.757,0.91966,0.83544,1.23066,0.99719,1,0.995,0.84114,0.64813,0.54173,0.96107,0.0007526,0.0007526,0.0007526
65,106.48,0.98297,0.84144,1.25583,0.99744,1,0.995,0.85054,0.64308,0.5498,0.92129,0.0007328,0.0007328,0.0007328
66,108.304,0.89541,0.81344,1.16757,0.99744,1,0.995,0.85054,0.64308,0.5498,0.92129,0.000713,0.000713,0.000713
67,109.897,0.96989,0.86549,1.22535,0.99744,1,0.995,0.85054,0.64308,0.5498,0.92129,0.0006932,0.0006932,0.0006932
68,111.511,0.95952,0.74141,1.30093,0.99756,1,0.995,0.85183,0.61624,0.53433,0.9073,0.0006734,0.0006734,0.0006734
69,113.04,0.93763,0.81943,1.22792,0.99756,1,0.995,0.85183,0.61624,0.53433,0.9073,0.0006536,0.0006536,0.0006536
70,114.601,0.83676,0.82468,1.17757,0.99756,1,0.995,0.85183,0.61624,0.53433,0.9073,0.0006338,0.0006338,0.0006338
71,116.214,0.95738,0.87022,1.27095,0.99738,1,0.995,0.85721,0.59037,0.55779,0.89906,0.000614,0.000614,0.000614
72,117.813,0.93122,0.91452,1.18527,0.99738,1,0.995,0.85721,0.59037,0.55779,0.89906,0.0005942,0.0005942,0.0005942
73,119.519,1.08675,0.91852,1.35034,0.99761,1,0.995,0.8658,0.6027,0.54879,0.90004,0.0005744,0.0005744,0.0005744
74,121.112,0.89573,0.77228,1.25956,0.99761,1,0.995,0.8658,0.6027,0.54879,0.90004,0.0005546,0.0005546,0.0005546
75,122.684,1.03798,0.85935,1.27541,0.99761,1,0.995,0.8658,0.6027,0.54879,0.90004,0.0005348,0.0005348,0.0005348
76,124.275,0.81179,0.78894,1.11306,0.99748,1,0.995,0.85941,0.60244,0.52712,0.90218,0.000515,0.000515,0.000515
77,125.828,0.86571,0.73377,1.12639,0.99748,1,0.995,0.85941,0.60244,0.52712,0.90218,0.0004952,0.0004952,0.0004952
78,127.474,0.88232,0.83308,1.17726,0.99748,1,0.995,0.85941,0.60244,0.52712,0.90218,0.0004754,0.0004754,0.0004754
79,129.069,0.95545,0.80817,1.22009,0.99773,1,0.995,0.86868,0.59264,0.51093,0.89363,0.0004556,0.0004556,0.0004556
80,130.675,0.83675,0.78603,1.16619,0.99773,1,0.995,0.86868,0.59264,0.51093,0.89363,0.0004358,0.0004358,0.0004358
81,130.371,0.88783,0.82044,1.22722,0.99776,1,0.995,0.87909,0.59978,0.48913,0.88588,0.000416,0.000416,0.000416
82,131.968,0.74024,0.72508,1.08608,0.99776,1,0.995,0.87909,0.59978,0.48913,0.88588,0.0003962,0.0003962,0.0003962
83,133.567,0.74107,0.68375,1.14294,0.99776,1,0.995,0.87909,0.59978,0.48913,0.88588,0.0003764,0.0003764,0.0003764
84,135.258,0.8472,0.74532,1.13538,0.99793,1,0.995,0.87248,0.59473,0.48561,0.87364,0.0003566,0.0003566,0.0003566
85,136.853,0.82871,0.68956,1.12882,0.99793,1,0.995,0.87248,0.59473,0.48561,0.87364,0.0003368,0.0003368,0.0003368
86,138.358,0.82659,0.67319,1.08589,0.99793,1,0.995,0.87248,0.59473,0.48561,0.87364,0.000317,0.000317,0.000317
