epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.93582,1.0954,3.76409,1.29853,0.00323,1,0.38306,0.25606,0.50098,2.94517,0.92122,0.00014,0.00014,0.00014
2,5.11342,0.77287,2.60925,0.98348,0.00323,1,0.97887,0.76516,0.68117,2.95484,0.98269,0.00029703,0.00029703,0.00029703
3,7.12605,0.8027,2.25745,0.99513,0.00323,1,0.98532,0.82952,0.58182,2.82339,0.95309,0.000450892,0.000450892,0.000450892
4,9.16852,0.79453,1.93331,0.97039,0.00323,1,0.98758,0.85449,0.50723,2.73659,0.90293,0.000601586,0.000601586,0.000601586
5,11.3672,0.87947,1.85889,1.08135,0.2789,1,0.98532,0.83066,0.52594,2.66055,0.90165,0.000749112,0.000749112,0.000749112
6,13.4375,0.88253,1.61751,1.02301,1,0.26393,0.98016,0.79684,0.67062,2.57096,0.98613,0.00089347,0.00089347,0.00089347
7,15.4515,0.94098,1.53495,1.08863,0.80603,1,0.95793,0.78615,0.70641,2.21337,1.00727,0.00103466,0.00103466,0.00103466
8,17.5392,0.85752,1.58471,1.05339,0.96392,1,0.97694,0.77601,0.76022,1.92069,1.0211,0.00117268,0.00117268,0.00117268
9,19.5681,0.82561,1.46937,1.00088,0.81369,0.86667,0.9206,0.60689,1.02774,2.31541,1.12886,0.00130754,0.00130754,0.00130754
10,21.6192,1.03743,1.53174,1.03857,0.81369,0.86667,0.9206,0.60689,1.02774,2.31541,1.12886,0.00143922,0.00143922,0.00143922
11,23.6609,0.93149,1.54032,1.09432,0.86852,0.88106,0.95459,0.80094,0.70776,2.39773,0.96344,0.00156774,0.00156774,0.00156774
12,25.6593,0.88872,1.52947,1.04739,0.86852,0.88106,0.95459,0.80094,0.70776,2.39773,0.96344,0.00169309,0.00169309,0.00169309
13,27.722,0.93034,1.65107,1.02165,0.02187,0.16667,0.04999,0.03178,1.18201,3.35941,1.21589,0.0017624,0.0017624,0.0017624
14,29.7771,0.84902,1.60241,1.02474,0.02187,0.16667,0.04999,0.03178,1.18201,3.35941,1.21589,0.0017426,0.0017426,0.0017426
15,31.941,0.94624,1.47019,1.05428,0.76824,0.7,0.71576,0.54219,1.03055,6.30376,1.23103,0.0017228,0.0017228,0.0017228
16,33.9262,0.88582,1.47996,1.02377,0.76824,0.7,0.71576,0.54219,1.03055,6.30376,1.23103,0.001703,0.001703,0.001703
17,35.9217,0.92452,1.40105,1.05733,0.93271,0.66667,0.72928,0.5661,0.8408,3.78757,1.10705,0.0016832,0.0016832,0.0016832
18,37.9236,0.8361,1.34416,0.984,0.93271,0.66667,0.72928,0.5661,0.8408,3.78757,1.10705,0.0016634,0.0016634,0.0016634
19,39.9293,0.76813,1.58193,1.039,0.92715,0.84871,0.94107,0.72045,0.77298,3.79792,1.03897,0.0016436,0.0016436,0.0016436
20,42.1409,0.86883,1.6029,1.03111,0.92715,0.84871,0.94107,0.72045,0.77298,3.79792,1.03897,0.0016238,0.0016238,0.0016238
21,44.1767,0.85201,1.42712,1.02532,0.84496,0.96667,0.9656,0.74308,0.8204,2.26355,1.02958,0.001604,0.001604,0.001604
22,46.1785,0.75562,1.40675,0.97821,0.84496,0.96667,0.9656,0.74308,0.8204,2.26355,1.02958,0.0015842,0.0015842,0.0015842
23,48.3365,0.74368,1.25998,0.9336,0.90909,1,0.98561,0.7774,0.7564,2.05907,0.96546,0.0015644,0.0015644,0.0015644
24,50.3873,0.75119,1.29816,0.97638,0.90909,1,0.98561,0.7774,0.7564,2.05907,0.96546,0.0015446,0.0015446,0.0015446
25,52.4032,0.74954,1.35203,0.97783,0.93723,0.99554,0.98091,0.83953,0.66914,1.66712,0.94336,0.0015248,0.0015248,0.0015248
26,54.3639,0.73319,1.32758,0.93022,0.93723,0.99554,0.98091,0.83953,0.66914,1.66712,0.94336,0.001505,0.001505,0.001505
27,56.3804,0.71855,1.10414,0.93995,0.93335,1,0.97696,0.81657,0.77304,1.55682,0.98805,0.0014852,0.0014852,0.0014852
28,59.0429,0.76328,1.23101,0.94884,0.93335,1,0.97696,0.81657,0.77304,1.55682,0.98805,0.0014654,0.0014654,0.0014654
29,61.0491,0.94632,1.34496,1.06894,0.96568,1,0.99306,0.84744,0.62571,1.30887,0.90733,0.0014456,0.0014456,0.0014456
30,63.4306,0.75066,1.14544,0.96247,0.96568,1,0.99306,0.84744,0.62571,1.30887,0.90733,0.0014258,0.0014258,0.0014258
31,65.4974,0.73668,1.10031,0.92789,0.96769,1,0.995,0.86285,0.57773,1.31378,0.89849,0.001406,0.001406,0.001406
32,67.5599,0.70959,1.11435,0.93442,0.96769,1,0.995,0.86285,0.57773,1.31378,0.89849,0.0013862,0.0013862,0.0013862
33,69.6828,0.7799,1.18718,0.93594,0.96579,1,0.99306,0.8624,0.53526,1.20716,0.8882,0.0013664,0.0013664,0.0013664
34,71.7223,0.68589,1.14714,0.96204,0.96579,1,0.99306,0.8624,0.53526,1.20716,0.8882,0.0013466,0.0013466,0.0013466
35,73.8373,0.75568,1.09872,0.98553,0.96605,1,0.98339,0.83176,0.60624,1.24801,0.92781,0.0013268,0.0013268,0.0013268
36,75.8146,0.73675,1.02461,0.97108,0.96605,1,0.98339,0.83176,0.60624,1.24801,0.92781,0.001307,0.001307,0.001307
37,77.9354,0.65622,0.96959,0.96646,0.96588,1,0.9821,0.86106,0.55298,1.14899,0.9026,0.0012872,0.0012872,0.0012872
38,79.8613,0.6768,0.9804,0.95028,0.96588,1,0.9821,0.86106,0.55298,1.14899,0.9026,0.0012674,0.0012674,0.0012674
39,81.8507,0.65326,1.13986,0.96982,0.96593,1,0.9821,0.86651,0.53544,1.11489,0.89089,0.0012476,0.0012476,0.0012476
40,83.8378,0.69442,1.0193,0.94294,0.96593,1,0.9821,0.86651,0.53544,1.11489,0.89089,0.0012278,0.0012278,0.0012278
41,86.1718,0.62961,0.93524,0.89451,0.96598,1,0.98855,0.87938,0.49676,1.07712,0.87544,0.001208,0.001208,0.001208
42,88.7703,0.73745,1.12919,0.9748,0.96598,1,0.98855,0.87938,0.49676,1.07712,0.87544,0.0011882,0.0011882,0.0011882
43,90.8392,0.62127,0.95608,0.91393,0.96583,1,0.98532,0.89566,0.50549,1.07815,0.88908,0.0011684,0.0011684,0.0011684
44,92.8515,0.60078,1.12713,0.90509,0.96583,1,0.98532,0.89566,0.50549,1.07815,0.88908,0.0011486,0.0011486,0.0011486
45,95.5233,0.63809,0.99031,0.98489,0.96579,1,0.99306,0.87516,0.50104,1.10875,0.88474,0.0011288,0.0011288,0.0011288
46,97.5393,0.61861,0.99905,0.89467,0.96579,1,0.99306,0.87516,0.50104,1.10875,0.88474,0.001109,0.001109,0.001109
47,99.5457,0.73386,0.96962,0.9567,0.96533,1,0.99306,0.87007,0.51927,1.09226,0.89014,0.0010892,0.0010892,0.0010892
48,101.593,0.60133,0.96763,0.90284,0.96533,1,0.99306,0.87007,0.51927,1.09226,0.89014,0.0010694,0.0010694,0.0010694
49,103.626,0.70598,0.99561,0.97215,0.96538,1,0.99403,0.864,0.53153,1.0587,0.89439,0.0010496,0.0010496,0.0010496
50,105.635,0.61656,0.86262,0.93739,0.96538,1,0.99403,0.864,0.53153,1.0587,0.89439,0.0010298,0.0010298,0.0010298
51,107.635,0.7008,0.92298,0.92455,0.96591,1,0.995,0.88044,0.52164,1.03058,0.88385,0.00101,0.00101,0.00101
52,109.62,0.56737,0.84529,0.8517,0.96591,1,0.995,0.88044,0.52164,1.03058,0.88385,0.0009902,0.0009902,0.0009902
53,111.57,0.62778,0.92863,0.91803,0.96564,1,0.99081,0.86895,0.50646,0.98359,0.88387,0.0009704,0.0009704,0.0009704
54,113.512,0.64902,0.90346,0.93717,0.96564,1,0.99081,0.86895,0.50646,0.98359,0.88387,0.0009506,0.0009506,0.0009506
55,115.542,0.65562,1.0171,0.95284,0.96567,1,0.98984,0.87255,0.48074,0.9298,0.88471,0.0009308,0.0009308,0.0009308
56,117.498,0.63909,0.97804,0.92862,0.96567,1,0.98984,0.87255,0.48074,0.9298,0.88471,0.000911,0.000911,0.000911
57,119.501,0.59167,0.87234,0.93223,0.96573,1,0.99081,0.88281,0.48775,0.9259,0.88187,0.0008912,0.0008912,0.0008912
58,121.45,0.63576,0.9303,0.94534,0.96573,1,0.99081,0.88281,0.48775,0.9259,0.88187,0.0008714,0.0008714,0.0008714
59,123.477,0.60786,1.01936,0.90671,0.96584,1,0.98016,0.85914,0.50017,0.92074,0.88288,0.0008516,0.0008516,0.0008516
60,125.436,0.58366,0.88351,0.87965,0.96584,1,0.98016,0.85914,0.50017,0.92074,0.88288,0.0008318,0.0008318,0.0008318
61,127.46,0.60394,0.8553,0.89696,0.96596,1,0.98435,0.88823,0.4789,0.88824,0.87834,0.000812,0.000812,0.000812
62,129.416,0.65163,0.80738,0.94352,0.96596,1,0.98435,0.88823,0.4789,0.88824,0.87834,0.0007922,0.0007922,0.0007922
63,131.454,0.57598,0.96032,0.92034,0.9659,1,0.98435,0.85631,0.49634,0.89133,0.89017,0.0007724,0.0007724,0.0007724
64,133.414,0.60043,0.90163,0.9019,0.9659,1,0.98435,0.85631,0.49634,0.89133,0.89017,0.0007526,0.0007526,0.0007526
65,135.406,0.60227,0.91313,0.91153,0.96593,1,0.98435,0.87677,0.48664,0.88442,0.8837,0.0007328,0.0007328,0.0007328
66,137.423,0.64579,0.86463,0.94845,0.96593,1,0.98435,0.87677,0.48664,0.88442,0.8837,0.000713,0.000713,0.000713
67,139.515,0.62574,0.85816,0.90078,0.9659,1,0.99177,0.90764,0.43916,0.83024,0.87155,0.0006932,0.0006932,0.0006932
68,141.495,0.60666,0.8141,0.93047,0.9659,1,0.99177,0.90764,0.43916,0.83024,0.87155,0.0006734,0.0006734,0.0006734
69,143.496,0.63139,0.91652,0.92689,0.96594,1,0.99081,0.90955,0.40229,0.81224,0.86451,0.0006536,0.0006536,0.0006536
70,145.548,0.65092,0.84005,0.98362,0.96594,1,0.99081,0.90955,0.40229,0.81224,0.86451,0.0006338,0.0006338,0.0006338
71,147.598,0.61328,0.82148,0.96317,0.96594,1,0.98984,0.8912,0.40518,0.82707,0.86377,0.000614,0.000614,0.000614
72,149.568,0.53122,0.72858,0.8742,0.96594,1,0.98984,0.8912,0.40518,0.82707,0.86377,0.0005942,0.0005942,0.0005942
73,151.587,0.50548,0.81291,0.89857,0.96585,1,0.99081,0.91969,0.40371,0.81571,0.85955,0.0005744,0.0005744,0.0005744
74,153.714,0.53585,0.7847,0.90075,0.96585,1,0.99081,0.91969,0.40371,0.81571,0.85955,0.0005546,0.0005546,0.0005546
