epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9276,1.0678,2.20012,1.11911,0.91292,0.90685,0.95396,0.60867,1.03859,2.15403,1.06544,0.000657407,0.000657407,0.000657407
2,30.5886,1.03874,1.57374,1.10831,0.87898,0.86505,0.93204,0.66071,0.96117,1.995,1.07031,0.00131097,0.00131097,0.00131097
3,45.1414,1.1264,1.55893,1.15779,0.85058,0.75433,0.88265,0.57928,1.10068,2.04895,1.09422,0.00195132,0.00195132,0.00195132
4,59.9393,1.12857,1.47133,1.14401,0.96273,0.89389,0.95144,0.66679,0.99369,1.97865,1.05177,0.0019406,0.0019406,0.0019406
5,74.676,1.20583,1.43641,1.17697,0.92167,0.855,0.9429,0.68313,0.9139,1.62972,1.00021,0.0019208,0.0019208,0.0019208
6,89.7904,1.06873,1.26871,1.10161,0.98549,0.96194,0.98153,0.72479,0.83813,1.61472,0.9741,0.001901,0.001901,0.001901
7,104.44,1.04355,1.1635,1.07611,0.99111,0.97578,0.98792,0.75706,0.82493,1.15897,0.95554,0.0018812,0.0018812,0.0018812
8,119.203,1.05167,1.11088,1.09361,1,0.98183,0.98516,0.74549,0.84725,0.96949,0.96613,0.0018614,0.0018614,0.0018614
9,133.671,1.05518,1.05275,1.08463,0.95587,0.97436,0.9836,0.74868,0.8271,1.01752,0.94291,0.0018416,0.0018416,0.0018416
10,148.378,0.99895,0.93952,1.06949,0.96216,0.96784,0.97351,0.72566,0.92158,0.99724,0.97085,0.0018218,0.0018218,0.0018218
11,163.201,0.99416,0.92616,1.09073,0.98597,0.97278,0.98739,0.78928,0.75336,0.87928,0.92637,0.001802,0.001802,0.001802
12,177.916,0.9403,0.8593,1.06521,0.92401,0.92571,0.95641,0.75355,0.74116,0.94919,0.91099,0.0017822,0.0017822,0.0017822
13,192.55,0.92111,0.84515,1.04009,0.99812,0.9827,0.98835,0.80333,0.71898,0.70546,0.90325,0.0017624,0.0017624,0.0017624
14,207.286,0.93801,0.81101,1.04262,0.98295,0.97578,0.98484,0.82572,0.67713,0.69151,0.89298,0.0017426,0.0017426,0.0017426
15,221.819,0.88493,0.72816,0.99842,0.99355,0.97578,0.98452,0.81695,0.69505,0.64572,0.89939,0.0017228,0.0017228,0.0017228
16,236.587,0.92642,0.76241,1.03898,0.99588,0.9827,0.98553,0.80737,0.73231,0.70731,0.90006,0.001703,0.001703,0.001703
17,251.173,0.86859,0.716,1.0103,0.99454,0.97578,0.98455,0.80005,0.67817,0.61086,0.89421,0.0016832,0.0016832,0.0016832
18,265.842,0.83936,0.68466,1.00644,0.99896,0.97578,0.98717,0.80569,0.72442,0.59306,0.90584,0.0016634,0.0016634,0.0016634
