epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.25992,1.18009,3.07991,1.14354,0.00333,1,0.91856,0.5346,1.19208,3.22669,1.13216,0.0002,0.0002,0.0002
2,8.15171,1.05455,2.66053,1.12374,0.00333,1,0.96161,0.62359,0.98079,3.07453,1.06851,0.000415842,0.000415842,0.000415842
3,11.0142,1.14388,2.20516,1.19929,0.00785,1,0.97958,0.6921,0.72872,2.81246,0.91172,0.000627328,0.000627328,0.000627328
4,13.789,1.17072,1.96276,1.14055,0.87049,0.7381,0.92108,0.63995,0.89198,2.63037,0.97126,0.000834458,0.000834458,0.000834458
5,16.6149,1.09686,1.72908,1.07198,0.96426,0.64242,0.98194,0.67077,0.99594,2.66392,1.01793,0.00103723,0.00103723,0.00103723
6,19.267,1.19339,1.79134,1.1753,0.90606,0.92857,0.95864,0.6121,0.99843,2.44073,1.01726,0.00123565,0.00123565,0.00123565
7,22.0648,1.23962,1.98514,1.27003,0.50894,0.86376,0.61899,0.40209,0.97282,2.59923,1.01881,0.00142971,0.00142971,0.00142971
8,24.7037,1.06549,1.6547,1.1425,0.70417,0.85714,0.77765,0.47485,1.05208,2.22947,1.00511,0.00161942,0.00161942,0.00161942
9,27.3695,1.04099,1.70531,1.12465,0.70417,0.85714,0.77765,0.47485,1.05208,2.22947,1.00511,0.00180477,0.00180477,0.00180477
10,30.0277,1.08764,1.74431,1.09772,0.62097,0.78024,0.71739,0.38533,1.29197,2.80877,1.14766,0.0018218,0.0018218,0.0018218
11,32.6737,1.25554,2.03404,1.18398,0.08947,0.59524,0.11648,0.07012,1.1519,5.05632,1.08986,0.001802,0.001802,0.001802
12,35.3418,1.16005,1.88449,1.14006,0.08947,0.59524,0.11648,0.07012,1.1519,5.05632,1.08986,0.0017822,0.0017822,0.0017822
13,38.1777,1.22813,1.78591,1.17307,0.88703,0.9349,0.9614,0.46756,1.12418,2.47013,1.05327,0.0017624,0.0017624,0.0017624
14,40.9881,1.28743,2.23506,1.20498,0.81925,0.7381,0.77295,0.44918,1.23694,2.78107,1.23171,0.0017426,0.0017426,0.0017426
15,43.7682,1.30612,2.05294,1.25474,0.81925,0.7381,0.77295,0.44918,1.23694,2.78107,1.23171,0.0017228,0.0017228,0.0017228
16,46.4252,1.21072,1.80528,1.1573,0.81842,0.85853,0.81969,0.44766,1.34909,2.86057,1.43392,0.001703,0.001703,0.001703
17,49.0826,1.22281,1.97082,1.25035,0.94829,0.92857,0.95542,0.55461,1.24999,2.59223,1.29349,0.0016832,0.0016832,0.0016832
18,51.8413,1.29748,1.62213,1.21137,0.71467,0.77538,0.71518,0.45,1.18148,2.91783,1.12606,0.0016634,0.0016634,0.0016634
19,54.6195,1.06654,1.78251,1.15313,0.71467,0.77538,0.71518,0.45,1.18148,2.91783,1.12606,0.0016436,0.0016436,0.0016436
20,57.2968,1.08364,1.62721,1.13188,0.77462,0.66667,0.75661,0.47984,1.20634,2.68647,1.13446,0.0016238,0.0016238,0.0016238
21,60.1058,1.13851,1.63181,1.1534,0.90861,0.97619,0.97277,0.70055,1.04268,2.16605,1.03432,0.001604,0.001604,0.001604
22,62.7789,1.08669,1.56669,1.17842,0.90861,0.97619,0.97277,0.70055,1.04268,2.16605,1.03432,0.0015842,0.0015842,0.0015842
23,65.5779,1.07931,1.40539,1.10873,0.94992,0.97619,0.98917,0.69345,1.00413,1.91483,0.97541,0.0015644,0.0015644,0.0015644
24,68.3779,1.11523,1.57189,1.14626,0.97018,0.92857,0.97428,0.75738,0.89971,1.8299,0.95391,0.0015446,0.0015446,0.0015446
25,71.0637,0.98088,1.59158,1.15414,0.97018,0.92857,0.97428,0.75738,0.89971,1.8299,0.95391,0.0015248,0.0015248,0.0015248
26,73.7616,1.02602,1.55845,1.12578,0.96525,0.92857,0.98732,0.74975,0.9374,1.76162,0.9542,0.001505,0.001505,0.001505
27,76.4894,0.98429,1.39558,1.09779,0.99165,0.88095,0.98441,0.72332,0.97258,1.65146,0.95406,0.0014852,0.0014852,0.0014852
28,79.182,0.99607,1.47941,1.13511,0.99165,0.88095,0.98441,0.72332,0.97258,1.65146,0.95406,0.0014654,0.0014654,0.0014654
29,81.9421,0.95182,1.46419,1.09029,0.99849,0.97619,0.99409,0.77221,0.79863,1.55953,0.88148,0.0014456,0.0014456,0.0014456
