epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.68471,1.90622,6.6394,1.38735,0.34719,0.33333,0.26771,0.1827,1.23017,3.56153,1.0906,0.00014,0.00014,0.00014
2,7.41846,1.16881,3.3211,1.03933,0.65167,1,0.75643,0.55995,0.96339,2.74617,0.94181,0.00029703,0.00029703,0.00029703
3,11.1971,1.05582,3.15363,0.99117,0.65941,0.92935,0.81479,0.61321,0.93024,2.16529,0.92254,0.000450892,0.000450892,0.000450892
4,15.0461,0.95819,2.06698,0.90385,0.70859,1,0.81188,0.5862,0.91783,1.97783,0.95619,0.000601586,0.000601586,0.000601586
5,18.4852,1.00367,1.72113,0.88704,0.3342,0.70667,0.34667,0.28053,0.74187,2.17618,0.88207,0.000749112,0.000749112,0.000749112
6,21.985,0.84567,1.94184,0.86622,0.01454,0.92,0.01494,0.01186,0.7013,13.3316,0.89533,0.00089347,0.00089347,0.00089347
7,25.4137,0.90857,1.69115,0.89231,0.00765,0.58667,0.00458,0.00394,0.80325,27.631,0.93754,0.00103466,0.00103466,0.00103466
8,28.8861,0.92899,1.72024,0.87048,0.01312,0.88,0.0123,0.00907,1.06451,31.8815,1.02346,0.00117268,0.00117268,0.00117268
9,32.4155,1.00798,2.72551,0.9017,0.00069,0.08,5e-05,3e-05,1.41207,414.373,1.16441,0.00130754,0.00130754,0.00130754
10,36.1457,1.19439,2.62859,0.98482,0.00069,0.08,5e-05,3e-05,1.41207,414.373,1.16441,0.00143922,0.00143922,0.00143922
11,39.6246,1.09061,2.43682,0.95041,0.0024,0.25333,0.00061,0.00013,1.23599,292.787,1.24205,0.00156774,0.00156774,0.00156774
12,43.0532,0.85288,1.74126,0.92947,0.0024,0.25333,0.00061,0.00013,1.23599,292.787,1.24205,0.00169309,0.00169309,0.00169309
13,46.4501,1.01135,2.36371,0.98085,0.59027,0.69333,0.52378,0.40867,1.06531,2.18741,1.00981,0.0017624,0.0017624,0.0017624
14,49.7318,0.75695,3.64056,0.80901,0.59027,0.69333,0.52378,0.40867,1.06531,2.18741,1.00981,0.0017426,0.0017426,0.0017426
15,53.3626,0.92765,1.82795,0.92999,0.11022,0.69333,0.08649,0.06549,1.02183,12.3192,1.01897,0.0017228,0.0017228,0.0017228
16,56.6937,0.9226,1.3248,0.90758,0.11022,0.69333,0.08649,0.06549,1.02183,12.3192,1.01897,0.001703,0.001703,0.001703
17,60.1467,0.90627,1.3717,0.93763,0.13286,0.56,0.09199,0.06516,1.0047,5.22081,1.02778,0.0016832,0.0016832,0.0016832
18,63.6026,0.98975,1.10664,0.93152,0.13286,0.56,0.09199,0.06516,1.0047,5.22081,1.02778,0.0016634,0.0016634,0.0016634
19,66.9433,0.89625,1.41218,0.94285,0.4199,0.64,0.31609,0.24925,1.2039,2.6355,1.11448,0.0016436,0.0016436,0.0016436
20,70.3806,0.93302,1.69974,0.89955,0.4199,0.64,0.31609,0.24925,1.2039,2.6355,1.11448,0.0016238,0.0016238,0.0016238
21,74.1096,0.89068,1.58029,0.90084,0.47357,0.6,0.41066,0.32481,0.87372,1.66593,0.93656,0.001604,0.001604,0.001604
22,77.4324,0.88905,1.24103,0.89931,0.47357,0.6,0.41066,0.32481,0.87372,1.66593,0.93656,0.0015842,0.0015842,0.0015842
23,80.8287,0.85004,1.26822,0.94309,0.68089,1,0.85741,0.69418,0.66761,1.17591,0.8845,0.0015644,0.0015644,0.0015644
24,84.4242,0.83267,1.94108,0.89003,0.68089,1,0.85741,0.69418,0.66761,1.17591,0.8845,0.0015446,0.0015446,0.0015446
25,88.0286,0.85839,1.63502,0.92387,0.46544,1,0.47469,0.36113,0.72404,1.76241,0.91034,0.0015248,0.0015248,0.0015248
26,91.3873,0.96095,1.19763,0.90926,0.46544,1,0.47469,0.36113,0.72404,1.76241,0.91034,0.001505,0.001505,0.001505
27,94.8598,0.95438,1.44942,0.95283,0.02747,0.02667,0.0007,0.00056,4.98042,9.15395,2.77156,0.0014852,0.0014852,0.0014852
28,98.2199,1.10167,2.23428,0.97745,0.02747,0.02667,0.0007,0.00056,4.98042,9.15395,2.77156,0.0014654,0.0014654,0.0014654
29,101.655,0.92547,2.23412,0.9973,0.00163,0.17333,0.00086,0.00042,1.65887,23.171,1.40137,0.0014456,0.0014456,0.0014456
30,104.986,0.88525,2.10336,0.90016,0.00163,0.17333,0.00086,0.00042,1.65887,23.171,1.40137,0.0014258,0.0014258,0.0014258
31,108.352,0.7459,2.27199,0.77365,0.27284,0.98667,0.27467,0.21588,0.79017,8.52935,0.92428,0.001406,0.001406,0.001406
32,111.702,0.87648,1.52646,0.88154,0.27284,0.98667,0.27467,0.21588,0.79017,8.52935,0.92428,0.0013862,0.0013862,0.0013862
33,115.083,0.79425,1.36199,0.8631,0.67294,1,0.74258,0.61174,0.71089,1.02075,0.90429,0.0013664,0.0013664,0.0013664
34,118.566,0.77748,1.03317,0.89085,0.67294,1,0.74258,0.61174,0.71089,1.02075,0.90429,0.0013466,0.0013466,0.0013466
35,122.052,0.74905,0.90328,0.85789,0.67759,1,0.7752,0.62736,0.71264,0.97933,0.89763,0.0013268,0.0013268,0.0013268
36,125.563,0.71067,1.06114,0.85529,0.67759,1,0.7752,0.62736,0.71264,0.97933,0.89763,0.001307,0.001307,0.001307
37,128.941,0.7484,0.98718,0.86788,0.6813,1,0.83798,0.68454,0.75485,1.02673,0.89883,0.0012872,0.0012872,0.0012872
38,132.312,0.8751,0.92001,0.9145,0.6813,1,0.83798,0.68454,0.75485,1.02673,0.89883,0.0012674,0.0012674,0.0012674
39,135.849,0.88361,0.85857,0.91559,0.68119,1,0.85331,0.68751,0.70343,0.94366,0.87089,0.0012476,0.0012476,0.0012476
40,139.14,0.75845,1.0383,0.8494,0.68119,1,0.85331,0.68751,0.70343,0.94366,0.87089,0.0012278,0.0012278,0.0012278
41,142.505,0.76527,0.9827,0.86456,0.73202,0.94667,0.82544,0.68905,0.63815,0.82518,0.88466,0.001208,0.001208,0.001208
42,145.895,0.75231,0.88337,0.83457,0.73202,0.94667,0.82544,0.68905,0.63815,0.82518,0.88466,0.0011882,0.0011882,0.0011882
43,149.244,0.71187,0.96753,0.84929,0.40954,0.50667,0.32311,0.26606,0.78583,1.38794,0.97745,0.0011684,0.0011684,0.0011684
44,152.566,0.73475,1.0588,0.88005,0.40954,0.50667,0.32311,0.26606,0.78583,1.38794,0.97745,0.0011486,0.0011486,0.0011486
45,155.952,0.72562,1.12389,0.86701,0.5076,0.76,0.46797,0.38425,0.69195,1.2162,0.89262,0.0011288,0.0011288,0.0011288
46,159.25,0.75951,0.98294,0.88455,0.5076,0.76,0.46797,0.38425,0.69195,1.2162,0.89262,0.001109,0.001109,0.001109
47,162.627,0.75808,0.90167,0.89011,0.42048,0.78667,0.42057,0.35481,0.61165,1.2791,0.87706,0.0010892,0.0010892,0.0010892
48,166.126,0.72197,0.98286,0.89596,0.42048,0.78667,0.42057,0.35481,0.61165,1.2791,0.87706,0.0010694,0.0010694,0.0010694
49,169.581,0.70881,0.98433,0.86702,0.63355,0.97333,0.81293,0.69036,0.57298,0.92688,0.86989,0.0010496,0.0010496,0.0010496
50,172.907,0.65248,0.907,0.85395,0.63355,0.97333,0.81293,0.69036,0.57298,0.92688,0.86989,0.0010298,0.0010298,0.0010298
51,176.301,0.63353,0.86213,0.82914,0.68008,1,0.74893,0.61346,0.60943,0.81752,0.8789,0.00101,0.00101,0.00101
52,179.637,0.74581,0.7813,0.85718,0.68008,1,0.74893,0.61346,0.60943,0.81752,0.8789,0.0009902,0.0009902,0.0009902
53,183,0.60975,0.83752,0.86754,0.68016,1,0.76317,0.6612,0.5148,0.77111,0.85914,0.0009704,0.0009704,0.0009704
54,186.56,0.6443,0.88821,0.85563,0.68016,1,0.76317,0.6612,0.5148,0.77111,0.85914,0.0009506,0.0009506,0.0009506
55,189.949,0.6898,0.86704,0.84874,0.68067,1,0.77706,0.65779,0.5719,0.78048,0.86349,0.0009308,0.0009308,0.0009308
56,193.278,0.7481,1.26559,0.94694,0.68067,1,0.77706,0.65779,0.5719,0.78048,0.86349,0.000911,0.000911,0.000911
57,196.718,0.73178,0.97635,0.86492,0.68089,1,0.772,0.6478,0.61572,0.78821,0.87156,0.0008912,0.0008912,0.0008912
58,200.175,0.69286,0.80132,0.84624,0.68089,1,0.772,0.6478,0.61572,0.78821,0.87156,0.0008714,0.0008714,0.0008714
59,203.557,0.76115,0.81224,0.89889,0.68084,1,0.73898,0.63698,0.562,0.78835,0.86389,0.0008516,0.0008516,0.0008516
60,207.029,0.64733,0.89375,0.83742,0.68084,1,0.73898,0.63698,0.562,0.78835,0.86389,0.0008318,0.0008318,0.0008318
61,210.425,0.50167,0.77095,0.7284,0.68096,1,0.73345,0.63104,0.53345,0.75493,0.85956,0.000812,0.000812,0.000812
62,213.763,0.63009,0.86085,0.82463,0.68096,1,0.73345,0.63104,0.53345,0.75493,0.85956,0.0007922,0.0007922,0.0007922
63,217.213,0.74001,0.98495,0.9174,0.68116,1,0.75754,0.64232,0.549,0.7156,0.86008,0.0007724,0.0007724,0.0007724
64,220.504,0.57617,0.83056,0.83663,0.68116,1,0.75754,0.64232,0.549,0.7156,0.86008,0.0007526,0.0007526,0.0007526
